topic_id,topic_name_generated,top_keywords
0,Tropical Cyclone Bulletin,"tropical, cyclone, tropical cyclone, bulletin, center, issued, pm, tropical storm, storm, winds, kmh, next, today, valid, nr, tropical cyclone bulletin, cyclone bulletin, broadcast, broadcast next bulletin, broadcast next"
1,Public Weather Advisory,"weather, issued, issued pm, pm, warning, rainfall, next, system, weather system, public, hashtag_minprsd, hashtag_minprsd weather, hashtag_minprsd weather system, risk, management, risk reduction management, reduction management, risk reduction, reduction, concerned"
2,Thunderstorm Safety Advisory,"thunderstorm, monitoring, monitoring updates, keep, advised, updates, keep monitoring updates, keep monitoring, issued, advisory, thunderstorm advisory, landslides, take, measures, floods, advised take precautionary, precautionary measures, precautionary, take precautionary, take precautionary measures"
3,PAGASA Weather Advisory,"monitor, tropical, updates, advised monitor, advised monitor updates, monitor updates, advised, monitored, today, cyclone, tropical cyclone, dostpagasa, pm, monitor updates dostpagasa, updates dostpagasa, areas, pressure, low pressure, low, formation"
4,Coastal Wind Warning,"winds, northern, wind, ilocos, seaboard, islands, areas, portion, coastal, eastern, cagayan, seaboards, norte, rest, threat, luzon, san, sur, impacts, warning"
5,General Flood Advisory,"forecast, issued, mindanao, flood, general, northern, northern mindanao, region, region northern, region northern mindanao, general flood, mindanao gfahashtag_, gfahashtag_, northern mindanao gfahashtag_, forecast period, pm, potential, period, tropical cyclone, cyclone"
6,DRRM Office Activities,"city, disaster, risk, management, training, disaster risk, reduction, disaster risk reduction, risk reduction, icdrrmo, office, barangay, reduction management, risk reduction management, community, storm, response, city disaster, city disaster risk, management office"
7,Weather Disturbance Updates,"area, low, pressure area, low pressure area, low pressure, tropical, pressure, lpa, updates, depression, tropical depression, area lpa, pressure area lpa, advised, earthquake, responsibility, today, philippine area, philippine area responsibility, area responsibility"
8,Emergency Hotlines,"hashtag_icdrrmoproactive, hashtag_rescue, hashtag_icdrrmoproactive hashtag_rescue, hashtag_asensoiliganon, smart, hashtag_icdrrmoproactive hashtag_rescue hashtag_asensoiliganon, hashtag_rescue hashtag_asensoiliganon, telephone, call, telephone tmglobe smart, telephone tmglobe, tmglobe, tmglobe smart, emergencies, call telephone, call telephone tmglobe, for, operations, emergencies call, smart hashtag_icdrrmoproactive"
9,Weather Advisory,"mindanao, cloudy, thunderstorms, moderate, forecast, weather, due, skies, cloudy skies, winds, issued, tomorrow, thunderstorms due, isolated, valid, kmh, rainshowers, seas, rainshowers thunderstorms, partly cloudy"
